state,county,candidate,party,total_votes,won,candidate_2
Maine,Jefferson,Jo Jorgensen,LIB,44,FALSE,Other
Maine,Jefferson,Howie Hawkins,GRN,17,FALSE,Other
Maine,Jefferson,Rocky De La Fuente,ALI,0,FALSE,Other
Maine,Jefferson,Write-ins,WRI,0,FALSE,Other
Maine,Monhegan Plt.,Joe Biden,DEM,51,TRUE,Joe Biden
Maine,Monhegan Plt.,Donald Trump,REP,7,FALSE,Donald Trump
Maine,Monhegan Plt.,Howie Hawkins,GRN,3,FALSE,Other
Maine,Monhegan Plt.,Jo Jorgensen,LIB,1,FALSE,Other
Maine,Monhegan Plt.,Rocky De La Fuente,ALI,0,FALSE,Other
Maine,Monhegan Plt.,Write-ins,WRI,0,FALSE,Other
Maine,Newcastle,Joe Biden,DEM,923,TRUE,Joe Biden
Maine,Newcastle,Donald Trump,REP,403,FALSE,Donald Trump
Maine,Newcastle,Jo Jorgensen,LIB,19,FALSE,Other
Maine,Newcastle,Write-ins,WRI,18,FALSE,Other
Maine,Newcastle,Howie Hawkins,GRN,11,FALSE,Other
Maine,Newcastle,Rocky De La Fuente,ALI,3,FALSE,Other
Maine,Nobleboro,Joe Biden,DEM,729,TRUE,Joe Biden
Maine,Nobleboro,Donald Trump,REP,559,FALSE,Donald Trump
Maine,Nobleboro,Rocky De La Fuente,ALI,0,FALSE,Other
Maine,Nobleboro,Howie Hawkins,GRN,0,FALSE,Other
Maine,Nobleboro,Jo Jorgensen,LIB,0,FALSE,Other
Maine,Nobleboro,Write-ins,WRI,0,FALSE,Other
Maine,Somerville,Donald Trump,REP,213,TRUE,Donald Trump
Maine,Somerville,Joe Biden,DEM,131,FALSE,Joe Biden
Maine,Somerville,Jo Jorgensen,LIB,9,FALSE,Other
Maine,Somerville,Rocky De La Fuente,ALI,2,FALSE,Other
Maine,Somerville,Howie Hawkins,GRN,2,FALSE,Other
Maine,Somerville,Write-ins,WRI,0,FALSE,Other
Maine,South Bristol,Joe Biden,DEM,429,TRUE,Joe Biden
Maine,South Bristol,Donald Trump,REP,261,FALSE,Donald Trump
Maine,South Bristol,Jo Jorgensen,LIB,18,FALSE,Other
Maine,South Bristol,Howie Hawkins,GRN,6,FALSE,Other
Maine,South Bristol,Rocky De La Fuente,ALI,2,FALSE,Other
Maine,South Bristol,Write-ins,WRI,0,FALSE,Other
Maine,Southport,Joe Biden,DEM,306,TRUE,Joe Biden
Maine,Southport,Donald Trump,REP,173,FALSE,Donald Trump
Maine,Southport,Jo Jorgensen,LIB,11,FALSE,Other
Maine,Southport,Howie Hawkins,GRN,1,FALSE,Other
Maine,Southport,Rocky De La Fuente,ALI,0,FALSE,Other
Maine,Southport,Write-ins,WRI,0,FALSE,Other
Maine,Waldoboro,Donald Trump,REP,1568,TRUE,Donald Trump
Maine,Waldoboro,Joe Biden,DEM,1294,FALSE,Joe Biden
Maine,Waldoboro,Jo Jorgensen,LIB,42,FALSE,Other
Maine,Waldoboro,Howie Hawkins,GRN,25,FALSE,Other
Maine,Waldoboro,Rocky De La Fuente,ALI,5,FALSE,Other
Maine,Waldoboro,Write-ins,WRI,0,FALSE,Other
Maine,Westport,Joe Biden,DEM,303,TRUE,Joe Biden
Maine,Westport,Donald Trump,REP,231,FALSE,Donald Trump
Maine,Westport,Jo Jorgensen,LIB,11,FALSE,Other
Maine,Westport,Howie Hawkins,GRN,4,FALSE,Other
Maine,Westport,Rocky De La Fuente,ALI,2,FALSE,Other
Maine,Westport,Write-ins,WRI,0,FALSE,Other
Maine,Whitefield,Donald Trump,REP,753,TRUE,Donald Trump
Maine,Whitefield,Joe Biden,DEM,688,FALSE,Joe Biden
Maine,Whitefield,Jo Jorgensen,LIB,18,FALSE,Other
Maine,Whitefield,Howie Hawkins,GRN,14,FALSE,Other
Maine,Whitefield,Rocky De La Fuente,ALI,6,FALSE,Other
Maine,Whitefield,Write-ins,WRI,4,FALSE,Other
Maine,Wiscasset,Joe Biden,DEM,1114,TRUE,Joe Biden
Maine,Wiscasset,Donald Trump,REP,1112,FALSE,Donald Trump
Maine,Wiscasset,Jo Jorgensen,LIB,61,FALSE,Other
Maine,Wiscasset,Howie Hawkins,GRN,26,FALSE,Other
Maine,Wiscasset,Rocky De La Fuente,ALI,0,FALSE,Other
Maine,Wiscasset,Write-ins,WRI,0,FALSE,Other
Maine,Andover,Donald Trump,REP,293,TRUE,Donald Trump
Maine,Andover,Joe Biden,DEM,223,FALSE,Joe Biden
Maine,Andover,Jo Jorgensen,LIB,16,FALSE,Other
Maine,Andover,Howie Hawkins,GRN,6,FALSE,Other
Maine,Andover,Rocky De La Fuente,ALI,0,FALSE,Other
Maine,Andover,Write-ins,WRI,0,FALSE,Other
Maine,Bethel,Joe Biden,DEM,1006,TRUE,Joe Biden
Maine,Bethel,Donald Trump,REP,749,FALSE,Donald Trump
Maine,Bethel,Jo Jorgensen,LIB,54,FALSE,Other
Maine,Bethel,Howie Hawkins,GRN,19,FALSE,Other
Maine,Bethel,Rocky De La Fuente,ALI,2,FALSE,Other
Maine,Bethel,Write-ins,WRI,0,FALSE,Other
Maine,Brownfield,Joe Biden,DEM,468,TRUE,Joe Biden
Maine,Brownfield,Donald Trump,REP,466,FALSE,Donald Trump
Maine,Brownfield,Howie Hawkins,GRN,10,FALSE,Other
Maine,Brownfield,Jo Jorgensen,LIB,10,FALSE,Other
Maine,Brownfield,Write-ins,WRI,10,FALSE,Other
Maine,Brownfield,Rocky De La Fuente,ALI,3,FALSE,Other
Maine,Buckfield,Donald Trump,REP,636,TRUE,Donald Trump
Maine,Buckfield,Joe Biden,DEM,436,FALSE,Joe Biden
Maine,Buckfield,Jo Jorgensen,LIB,14,FALSE,Other
Maine,Buckfield,Howie Hawkins,GRN,11,FALSE,Other
Maine,Buckfield,Rocky De La Fuente,ALI,1,FALSE,Other
Maine,Buckfield,Write-ins,WRI,0,FALSE,Other
Maine,Byron,Joe Biden,DEM,0,TRUE,Joe Biden
Maine,Byron,Donald Trump,REP,0,FALSE,Donald Trump
Maine,Byron,Rocky De La Fuente,ALI,0,FALSE,Other
Maine,Byron,Howie Hawkins,GRN,0,FALSE,Other
Maine,Byron,Jo Jorgensen,LIB,0,FALSE,Other
Maine,Byron,Write-ins,WRI,0,FALSE,Other
Maine,Canton,Donald Trump,REP,374,TRUE,Donald Trump
Maine,Canton,Joe Biden,DEM,154,FALSE,Joe Biden
Maine,Canton,Howie Hawkins,GRN,8,FALSE,Other
Maine,Canton,Jo Jorgensen,LIB,8,FALSE,Other
Maine,Canton,Rocky De La Fuente,ALI,0,FALSE,Other
Maine,Canton,Write-ins,WRI,0,FALSE,Other
Maine,Denmark,Joe Biden,DEM,404,TRUE,Joe Biden
Maine,Denmark,Donald Trump,REP,392,FALSE,Donald Trump
Maine,Denmark,Jo Jorgensen,LIB,22,FALSE,Other
Maine,Denmark,Howie Hawkins,GRN,7,FALSE,Other
Maine,Denmark,Rocky De La Fuente,ALI,2,FALSE,Other
Maine,Denmark,Write-ins,WRI,0,FALSE,Other
Maine,Dixfield,Donald Trump,REP,803,TRUE,Donald Trump
Maine,Dixfield,Joe Biden,DEM,460,FALSE,Joe Biden
Maine,Dixfield,Jo Jorgensen,LIB,30,FALSE,Other
Maine,Dixfield,Howie Hawkins,GRN,7,FALSE,Other
Maine,Dixfield,Rocky De La Fuente,ALI,2,FALSE,Other
Maine,Dixfield,Write-ins,WRI,0,FALSE,Other
Maine,Fryeburg,Joe Biden,DEM,1060,TRUE,Joe Biden
Maine,Fryeburg,Donald Trump,REP,813,FALSE,Donald Trump
Maine,Fryeburg,Jo Jorgensen,LIB,33,FALSE,Other
Maine,Fryeburg,Howie Hawkins,GRN,25,FALSE,Other
Maine,Fryeburg,Rocky De La Fuente,ALI,6,FALSE,Other
Maine,Fryeburg,Write-ins,WRI,0,FALSE,Other
Maine,Gilead,Joe Biden,DEM,0,TRUE,Joe Biden
Maine,Gilead,Donald Trump,REP,0,FALSE,Donald Trump
Maine,Gilead,Rocky De La Fuente,ALI,0,FALSE,Other
Maine,Gilead,Howie Hawkins,GRN,0,FALSE,Other
Maine,Gilead,Jo Jorgensen,LIB,0,FALSE,Other
Maine,Gilead,Write-ins,WRI,0,FALSE,Other
Maine,Greenwood,Joe Biden,DEM,278,TRUE,Joe Biden
Maine,Greenwood,Donald Trump,REP,242,FALSE,Donald Trump
Maine,Greenwood,Jo Jorgensen,LIB,10,FALSE,Other
Maine,Greenwood,Howie Hawkins,GRN,3,FALSE,Other
Maine,Greenwood,Rocky De La Fuente,ALI,0,FALSE,Other
Maine,Greenwood,Write-ins,WRI,0,FALSE,Other
Maine,Hanover,Joe Biden,DEM,101,TRUE,Joe Biden
Maine,Hanover,Donald Trump,REP,92,FALSE,Donald Trump
Maine,Hanover,Jo Jorgensen,LIB,5,FALSE,Other
Maine,Hanover,Rocky De La Fuente,ALI,0,FALSE,Other
Maine,Hanover,Howie Hawkins,GRN,0,FALSE,Other
Maine,Hanover,Write-ins,WRI,0,FALSE,Other
Maine,Hartford,Donald Trump,REP,428,TRUE,Donald Trump
Maine,Hartford,Joe Biden,DEM,278,FALSE,Joe Biden
Maine,Hartford,Jo Jorgensen,LIB,10,FALSE,Other
Maine,Hartford,Howie Hawkins,GRN,7,FALSE,Other
Maine,Hartford,Rocky De La Fuente,ALI,1,FALSE,Other
Maine,Hartford,Write-ins,WRI,0,FALSE,Other
Maine,Hebron,Donald Trump,REP,427,TRUE,Donald Trump
Maine,Hebron,Joe Biden,DEM,323,FALSE,Joe Biden
Maine,Hebron,Jo Jorgensen,LIB,24,FALSE,Other
Maine,Hebron,Rocky De La Fuente,ALI,2,FALSE,Other
Maine,Hebron,Howie Hawkins,GRN,2,FALSE,Other
Maine,Hebron,Write-ins,WRI,0,FALSE,Other
Maine,Hiram,Donald Trump,REP,528,TRUE,Donald Trump
Maine,Hiram,Joe Biden,DEM,373,FALSE,Joe Biden
Maine,Hiram,Jo Jorgensen,LIB,14,FALSE,Other
Maine,Hiram,Howie Hawkins,GRN,13,FALSE,Other
Maine,Hiram,Rocky De La Fuente,ALI,0,FALSE,Other
Maine,Hiram,Write-ins,WRI,0,FALSE,Other
Maine,Lincoln Plt.,Joe Biden,DEM,0,TRUE,Joe Biden
Maine,Lincoln Plt.,Donald Trump,REP,0,FALSE,Donald Trump
Maine,Lincoln Plt.,Rocky De La Fuente,ALI,0,FALSE,Other
Maine,Lincoln Plt.,Howie Hawkins,GRN,0,FALSE,Other
Maine,Lincoln Plt.,Jo Jorgensen,LIB,0,FALSE,Other
Maine,Lincoln Plt.,Write-ins,WRI,0,FALSE,Other
Maine,Lovell,Joe Biden,DEM,399,TRUE,Joe Biden
Maine,Lovell,Donald Trump,REP,353,FALSE,Donald Trump
Maine,Lovell,Howie Hawkins,GRN,10,FALSE,Other
Maine,Lovell,Jo Jorgensen,LIB,4,FALSE,Other
Maine,Lovell,Rocky De La Fuente,ALI,0,FALSE,Other
Maine,Lovell,Write-ins,WRI,0,FALSE,Other
Maine,Magalloway Plt.,Joe Biden,DEM,0,TRUE,Joe Biden
Maine,Magalloway Plt.,Donald Trump,REP,0,FALSE,Donald Trump
Maine,Magalloway Plt.,Rocky De La Fuente,ALI,0,FALSE,Other
Maine,Magalloway Plt.,Howie Hawkins,GRN,0,FALSE,Other
Maine,Magalloway Plt.,Jo Jorgensen,LIB,0,FALSE,Other
Maine,Magalloway Plt.,Write-ins,WRI,0,FALSE,Other
Maine,Mexico,Donald Trump,REP,676,TRUE,Donald Trump
Maine,Mexico,Joe Biden,DEM,556,FALSE,Joe Biden
Maine,Mexico,Jo Jorgensen,LIB,27,FALSE,Other
Maine,Mexico,Howie Hawkins,GRN,12,FALSE,Other
Maine,Mexico,Rocky De La Fuente,ALI,0,FALSE,Other
Maine,Mexico,Write-ins,WRI,0,FALSE,Other
Maine,Newry,Joe Biden,DEM,163,TRUE,Joe Biden
Maine,Newry,Donald Trump,REP,119,FALSE,Donald Trump
Maine,Newry,Rocky De La Fuente,ALI,6,FALSE,Other
Maine,Newry,Jo Jorgensen,LIB,4,FALSE,Other
Maine,Newry,Howie Hawkins,GRN,3,FALSE,Other
Maine,Newry,Write-ins,WRI,1,FALSE,Other
Maine,Norway,Joe Biden,DEM,1400,TRUE,Joe Biden
Maine,Norway,Donald Trump,REP,1363,FALSE,Donald Trump
Maine,Norway,Jo Jorgensen,LIB,51,FALSE,Other
Maine,Norway,Howie Hawkins,GRN,37,FALSE,Other
Maine,Norway,Rocky De La Fuente,ALI,3,FALSE,Other
Maine,Norway,Write-ins,WRI,0,FALSE,Other
Maine,Otisfield,Donald Trump,REP,605,TRUE,Donald Trump
Maine,Otisfield,Joe Biden,DEM,535,FALSE,Joe Biden
Maine,Otisfield,Jo Jorgensen,LIB,20,FALSE,Other
Maine,Otisfield,Howie Hawkins,GRN,11,FALSE,Other
Maine,Otisfield,Rocky De La Fuente,ALI,0,FALSE,Other
Maine,Otisfield,Write-ins,WRI,0,FALSE,Other
Maine,Oxford,Donald Trump,REP,1456,TRUE,Donald Trump
Maine,Oxford,Joe Biden,DEM,807,FALSE,Joe Biden
Maine,Oxford,Jo Jorgensen,LIB,39,FALSE,Other
Maine,Oxford,Howie Hawkins,GRN,20,FALSE,Other
Maine,Oxford,Rocky De La Fuente,ALI,3,FALSE,Other
Maine,Oxford,Write-ins,WRI,0,FALSE,Other
Maine,Paris,Donald Trump,REP,1494,TRUE,Donald Trump
Maine,Paris,Joe Biden,DEM,1280,FALSE,Joe Biden
Maine,Paris,Jo Jorgensen,LIB,49,FALSE,Other
Maine,Paris,Howie Hawkins,GRN,29,FALSE,Other
Maine,Paris,Write-ins,WRI,29,FALSE,Other
Maine,Paris,Rocky De La Fuente,ALI,3,FALSE,Other
Maine,Peru,Donald Trump,REP,561,TRUE,Donald Trump
Maine,Peru,Joe Biden,DEM,322,FALSE,Joe Biden
Maine,Peru,Jo Jorgensen,LIB,15,FALSE,Other
Maine,Peru,Howie Hawkins,GRN,9,FALSE,Other
Maine,Peru,Rocky De La Fuente,ALI,1,FALSE,Other
Maine,Peru,Write-ins,WRI,1,FALSE,Other
Maine,Porter,Donald Trump,REP,521,TRUE,Donald Trump
Maine,Porter,Joe Biden,DEM,328,FALSE,Joe Biden
Maine,Porter,Jo Jorgensen,LIB,17,FALSE,Other
Maine,Porter,Howie Hawkins,GRN,9,FALSE,Other
Maine,Porter,Rocky De La Fuente,ALI,0,FALSE,Other
Maine,Porter,Write-ins,WRI,0,FALSE,Other
Maine,Roxbury,Joe Biden,DEM,0,TRUE,Joe Biden
Maine,Roxbury,Donald Trump,REP,0,FALSE,Donald Trump
Maine,Roxbury,Rocky De La Fuente,ALI,0,FALSE,Other
Maine,Roxbury,Howie Hawkins,GRN,0,FALSE,Other
Maine,Roxbury,Jo Jorgensen,LIB,0,FALSE,Other
Maine,Roxbury,Write-ins,WRI,0,FALSE,Other
Maine,Rumford,Donald Trump,REP,1502,TRUE,Donald Trump
Maine,Rumford,Joe Biden,DEM,1275,FALSE,Joe Biden
Maine,Rumford,Jo Jorgensen,LIB,57,FALSE,Other
Maine,Rumford,Howie Hawkins,GRN,28,FALSE,Other
Maine,Rumford,Rocky De La Fuente,ALI,1,FALSE,Other
Maine,Rumford,Write-ins,WRI,0,FALSE,Other
Maine,Stoneham,Joe Biden,DEM,0,TRUE,Joe Biden
Maine,Stoneham,Donald Trump,REP,0,FALSE,Donald Trump
Maine,Stoneham,Rocky De La Fuente,ALI,0,FALSE,Other
Maine,Stoneham,Howie Hawkins,GRN,0,FALSE,Other
Maine,Stoneham,Jo Jorgensen,LIB,0,FALSE,Other
Maine,Stoneham,Write-ins,WRI,0,FALSE,Other
Maine,Stow,Joe Biden,DEM,0,TRUE,Joe Biden
Maine,Stow,Donald Trump,REP,0,FALSE,Donald Trump
Maine,Stow,Rocky De La Fuente,ALI,0,FALSE,Other
Maine,Stow,Howie Hawkins,GRN,0,FALSE,Other
Maine,Stow,Jo Jorgensen,LIB,0,FALSE,Other
Maine,Stow,Write-ins,WRI,0,FALSE,Other
Maine,Sumner,Donald Trump,REP,324,TRUE,Donald Trump
Maine,Sumner,Joe Biden,DEM,206,FALSE,Joe Biden
Maine,Sumner,Howie Hawkins,GRN,11,FALSE,Other
Maine,Sumner,Jo Jorgensen,LIB,11,FALSE,Other
Maine,Sumner,Rocky De La Fuente,ALI,1,FALSE,Other
Maine,Sumner,Write-ins,WRI,0,FALSE,Other
Maine,Sweden,Joe Biden,DEM,0,TRUE,Joe Biden
Maine,Sweden,Donald Trump,REP,0,FALSE,Donald Trump
Maine,Sweden,Rocky De La Fuente,ALI,0,FALSE,Other
Maine,Sweden,Howie Hawkins,GRN,0,FALSE,Other
Maine,Sweden,Jo Jorgensen,LIB,0,FALSE,Other
Maine,Sweden,Write-ins,WRI,0,FALSE,Other
Maine,Upton,Joe Biden,DEM,0,TRUE,Joe Biden
Maine,Upton,Donald Trump,REP,0,FALSE,Donald Trump
Maine,Upton,Rocky De La Fuente,ALI,0,FALSE,Other
Maine,Upton,Howie Hawkins,GRN,0,FALSE,Other
Maine,Upton,Jo Jorgensen,LIB,0,FALSE,Other
Maine,Upton,Write-ins,WRI,0,FALSE,Other
Maine,Waterford,Donald Trump,REP,557,TRUE,Donald Trump
Maine,Waterford,Joe Biden,DEM,452,FALSE,Joe Biden
Maine,Waterford,Jo Jorgensen,LIB,20,FALSE,Other
Maine,Waterford,Howie Hawkins,GRN,9,FALSE,Other
Maine,Waterford,Rocky De La Fuente,ALI,0,FALSE,Other
Maine,Waterford,Write-ins,WRI,0,FALSE,Other
Maine,West Paris,Donald Trump,REP,552,TRUE,Donald Trump
Maine,West Paris,Joe Biden,DEM,372,FALSE,Joe Biden
Maine,West Paris,Jo Jorgensen,LIB,22,FALSE,Other
Maine,West Paris,Howie Hawkins,GRN,10,FALSE,Other
Maine,West Paris,Rocky De La Fuente,ALI,1,FALSE,Other
Maine,West Paris,Write-ins,WRI,0,FALSE,Other
Maine,Woodstock,Donald Trump,REP,534,TRUE,Donald Trump
Maine,Woodstock,Joe Biden,DEM,368,FALSE,Joe Biden
Maine,Woodstock,Rocky De La Fuente,ALI,7,FALSE,Other
Maine,Woodstock,Howie Hawkins,GRN,6,FALSE,Other
Maine,Woodstock,Jo Jorgensen,LIB,3,FALSE,Other
Maine,Woodstock,Write-ins,WRI,0,FALSE,Other
Maine,Alton,Joe Biden,DEM,0,TRUE,Joe Biden
Maine,Alton,Donald Trump,REP,0,FALSE,Donald Trump
Maine,Alton,Rocky De La Fuente,ALI,0,FALSE,Other
Maine,Alton,Howie Hawkins,GRN,0,FALSE,Other
Maine,Alton,Jo Jorgensen,LIB,0,FALSE,Other
Maine,Alton,Write-ins,WRI,0,FALSE,Other
Maine,Bangor,Joe Biden,DEM,8575,TRUE,Joe Biden
Maine,Bangor,Donald Trump,REP,5498,FALSE,Donald Trump
Maine,Bangor,Jo Jorgensen,LIB,374,FALSE,Other
Maine,Bangor,Howie Hawkins,GRN,191,FALSE,Other
Maine,Bangor,Rocky De La Fuente,ALI,32,FALSE,Other
Maine,Bangor,Write-ins,WRI,1,FALSE,Other
Maine,Bradford,Joe Biden,DEM,0,TRUE,Joe Biden
Maine,Bradford,Donald Trump,REP,0,FALSE,Donald Trump
Maine,Bradford,Rocky De La Fuente,ALI,0,FALSE,Other
Maine,Bradford,Howie Hawkins,GRN,0,FALSE,Other
Maine,Bradford,Jo Jorgensen,LIB,0,FALSE,Other
Maine,Bradford,Write-ins,WRI,0,FALSE,Other
Maine,Bradley,Donald Trump,REP,485,TRUE,Donald Trump
Maine,Bradley,Joe Biden,DEM,378,FALSE,Joe Biden
Maine,Bradley,Jo Jorgensen,LIB,14,FALSE,Other
Maine,Bradley,Howie Hawkins,GRN,8,FALSE,Other
Maine,Bradley,Write-ins,WRI,5,FALSE,Other
Maine,Bradley,Rocky De La Fuente,ALI,2,FALSE,Other
Maine,Brewer,Donald Trump,REP,2568,TRUE,Donald Trump
Maine,Brewer,Joe Biden,DEM,2533,FALSE,Joe Biden
Maine,Brewer,Jo Jorgensen,LIB,132,FALSE,Other
Maine,Brewer,Howie Hawkins,GRN,38,FALSE,Other
Maine,Brewer,Rocky De La Fuente,ALI,7,FALSE,Other
Maine,Brewer,Write-ins,WRI,0,FALSE,Other
Maine,Burlington,Donald Trump,REP,145,TRUE,Donald Trump
Maine,Burlington,Joe Biden,DEM,56,FALSE,Joe Biden
Maine,Burlington,Jo Jorgensen,LIB,5,FALSE,Other
Maine,Burlington,Rocky De La Fuente,ALI,0,FALSE,Other
Maine,Burlington,Howie Hawkins,GRN,0,FALSE,Other
Maine,Burlington,Write-ins,WRI,0,FALSE,Other
Maine,Carmel,Donald Trump,REP,1183,TRUE,Donald Trump
Maine,Carmel,Joe Biden,DEM,560,FALSE,Joe Biden
Maine,Carmel,Jo Jorgensen,LIB,27,FALSE,Other
Maine,Carmel,Howie Hawkins,GRN,9,FALSE,Other
Maine,Carmel,Rocky De La Fuente,ALI,3,FALSE,Other
Maine,Carmel,Write-ins,WRI,0,FALSE,Other
Maine,Carroll Plt.,Donald Trump,REP,73,TRUE,Donald Trump
Maine,Carroll Plt.,Joe Biden,DEM,17,FALSE,Joe Biden
Maine,Carroll Plt.,Rocky De La Fuente,ALI,0,FALSE,Other
Maine,Carroll Plt.,Howie Hawkins,GRN,0,FALSE,Other
Maine,Carroll Plt.,Jo Jorgensen,LIB,0,FALSE,Other
Maine,Carroll Plt.,Write-ins,WRI,0,FALSE,Other
Maine,Charleston,Donald Trump,REP,580,TRUE,Donald Trump
Maine,Charleston,Joe Biden,DEM,164,FALSE,Joe Biden
Maine,Charleston,Howie Hawkins,GRN,4,FALSE,Other
Maine,Charleston,Jo Jorgensen,LIB,4,FALSE,Other
Maine,Charleston,Rocky De La Fuente,ALI,1,FALSE,Other
Maine,Charleston,Write-ins,WRI,0,FALSE,Other
Maine,Chester,Joe Biden,DEM,0,TRUE,Joe Biden
Maine,Chester,Donald Trump,REP,0,FALSE,Donald Trump
Maine,Chester,Rocky De La Fuente,ALI,0,FALSE,Other
Maine,Chester,Howie Hawkins,GRN,0,FALSE,Other
Maine,Chester,Jo Jorgensen,LIB,0,FALSE,Other
Maine,Chester,Write-ins,WRI,0,FALSE,Other
Maine,Clifton,Donald Trump,REP,324,TRUE,Donald Trump
Maine,Clifton,Joe Biden,DEM,187,FALSE,Joe Biden
Maine,Clifton,Jo Jorgensen,LIB,14,FALSE,Other
Maine,Clifton,Howie Hawkins,GRN,7,FALSE,Other
Maine,Clifton,Rocky De La Fuente,ALI,0,FALSE,Other
Maine,Clifton,Write-ins,WRI,0,FALSE,Other
Maine,Corinna,Donald Trump,REP,847,TRUE,Donald Trump
Maine,Corinna,Joe Biden,DEM,363,FALSE,Joe Biden
Maine,Corinna,Jo Jorgensen,LIB,26,FALSE,Other
Maine,Corinna,Howie Hawkins,GRN,7,FALSE,Other
Maine,Corinna,Rocky De La Fuente,ALI,1,FALSE,Other
Maine,Corinna,Write-ins,WRI,0,FALSE,Other
Maine,Corinth,Donald Trump,REP,1147,TRUE,Donald Trump
Maine,Corinth,Joe Biden,DEM,390,FALSE,Joe Biden
Maine,Corinth,Jo Jorgensen,LIB,25,FALSE,Other
Maine,Corinth,Howie Hawkins,GRN,9,FALSE,Other
Maine,Corinth,Rocky De La Fuente,ALI,3,FALSE,Other
Maine,Corinth,Write-ins,WRI,0,FALSE,Other
Maine,Dexter,Donald Trump,REP,1169,TRUE,Donald Trump
Maine,Dexter,Joe Biden,DEM,617,FALSE,Joe Biden
Maine,Dexter,Jo Jorgensen,LIB,30,FALSE,Other
Maine,Dexter,Howie Hawkins,GRN,25,FALSE,Other
Maine,Dexter,Rocky De La Fuente,ALI,0,FALSE,Other
Maine,Dexter,Write-ins,WRI,0,FALSE,Other
Maine,Dixmont,Donald Trump,REP,446,TRUE,Donald Trump
Maine,Dixmont,Joe Biden,DEM,265,FALSE,Joe Biden
Maine,Dixmont,Jo Jorgensen,LIB,14,FALSE,Other
Maine,Dixmont,Howie Hawkins,GRN,5,FALSE,Other
Maine,Dixmont,Rocky De La Fuente,ALI,1,FALSE,Other
Maine,Dixmont,Write-ins,WRI,0,FALSE,Other
Maine,Drew Plt.,Joe Biden,DEM,0,TRUE,Joe Biden
Maine,Drew Plt.,Donald Trump,REP,0,FALSE,Donald Trump
Maine,Drew Plt.,Rocky De La Fuente,ALI,0,FALSE,Other
Maine,Drew Plt.,Howie Hawkins,GRN,0,FALSE,Other
Maine,Drew Plt.,Jo Jorgensen,LIB,0,FALSE,Other
Maine,Drew Plt.,Write-ins,WRI,0,FALSE,Other
Maine,East Millinocket,Donald Trump,REP,1470,TRUE,Donald Trump
Maine,East Millinocket,Joe Biden,DEM,1144,FALSE,Joe Biden
Maine,East Millinocket,Jo Jorgensen,LIB,28,FALSE,Other
Maine,East Millinocket,Howie Hawkins,GRN,9,FALSE,Other
Maine,East Millinocket,Rocky De La Fuente,ALI,4,FALSE,Other
Maine,East Millinocket,Write-ins,WRI,0,FALSE,Other
Maine,Eddington,Donald Trump,REP,903,TRUE,Donald Trump
Maine,Eddington,Joe Biden,DEM,503,FALSE,Joe Biden
Maine,Eddington,Jo Jorgensen,LIB,38,FALSE,Other
Maine,Eddington,Write-ins,WRI,17,FALSE,Other
Maine,Eddington,Howie Hawkins,GRN,8,FALSE,Other
Maine,Eddington,Rocky De La Fuente,ALI,4,FALSE,Other
Maine,Edinburg,Joe Biden,DEM,0,TRUE,Joe Biden
Maine,Edinburg,Donald Trump,REP,0,FALSE,Donald Trump
Maine,Edinburg,Rocky De La Fuente,ALI,0,FALSE,Other
Maine,Edinburg,Howie Hawkins,GRN,0,FALSE,Other
Maine,Edinburg,Jo Jorgensen,LIB,0,FALSE,Other
Maine,Edinburg,Write-ins,WRI,0,FALSE,Other
Maine,Enfield,Donald Trump,REP,585,TRUE,Donald Trump
Maine,Enfield,Joe Biden,DEM,279,FALSE,Joe Biden
Maine,Enfield,Howie Hawkins,GRN,6,FALSE,Other
Maine,Enfield,Jo Jorgensen,LIB,1,FALSE,Other
Maine,Enfield,Write-ins,WRI,1,FALSE,Other
Maine,Enfield,Rocky De La Fuente,ALI,0,FALSE,Other
Maine,Etna,Donald Trump,REP,495,TRUE,Donald Trump
Maine,Etna,Joe Biden,DEM,216,FALSE,Joe Biden
Maine,Etna,Jo Jorgensen,LIB,11,FALSE,Other
Maine,Etna,Howie Hawkins,GRN,4,FALSE,Other
Maine,Etna,Rocky De La Fuente,ALI,0,FALSE,Other
Maine,Etna,Write-ins,WRI,0,FALSE,Other
Maine,Exeter,Donald Trump,REP,366,TRUE,Donald Trump
Maine,Exeter,Joe Biden,DEM,190,FALSE,Joe Biden
Maine,Exeter,Jo Jorgensen,LIB,9,FALSE,Other
Maine,Exeter,Howie Hawkins,GRN,5,FALSE,Other
Maine,Exeter,Rocky De La Fuente,ALI,1,FALSE,Other
Maine,Exeter,Write-ins,WRI,0,FALSE,Other
Maine,Garland,Donald Trump,REP,409,TRUE,Donald Trump
Maine,Garland,Joe Biden,DEM,177,FALSE,Joe Biden
Maine,Garland,Jo Jorgensen,LIB,13,FALSE,Other
Maine,Garland,Howie Hawkins,GRN,6,FALSE,Other
Maine,Garland,Rocky De La Fuente,ALI,0,FALSE,Other
Maine,Garland,Write-ins,WRI,0,FALSE,Other
Maine,Glenburn,Donald Trump,REP,1612,TRUE,Donald Trump
Maine,Glenburn,Joe Biden,DEM,1108,FALSE,Joe Biden
Maine,Glenburn,Jo Jorgensen,LIB,44,FALSE,Other
Maine,Glenburn,Write-ins,WRI,26,FALSE,Other
Maine,Glenburn,Howie Hawkins,GRN,21,FALSE,Other
